initial_sentence,final_sentence,total_steps,changes_count,work_pressure_start,work_pressure_end,work_pressure_change,work_pressure_change_abs,work_pressure_min,work_pressure_max,work_pressure_mean,satisfaction_start,satisfaction_end,satisfaction_change,satisfaction_change_abs,satisfaction_min,satisfaction_max,satisfaction_mean,tension_start,tension_end,tension_change,tension_change_abs,tension_min,tension_max,tension_mean,positive_negative_start,positive_negative_end,positive_negative_change,positive_negative_change_abs,positive_negative_min,positive_negative_max,positive_negative_mean,anger_calm_start,anger_calm_end,anger_calm_change,anger_calm_change_abs,anger_calm_min,anger_calm_max,anger_calm_mean,excitement_calm_start,excitement_calm_end,excitement_calm_change,excitement_calm_change_abs,excitement_calm_min,excitement_calm_max,excitement_calm_mean
房间很大,房间极小,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-1.0,-4.5,4.5,-1.0,3.5,1.45,-1.4999999999999998,1.0,2.5,2.5,-1.4999999999999998,2.5,0.2000000000000001,4.0,-3.0,-7.0,7.0,-3.0,4.0,1.1
我想出去玩,我随便出去玩,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0,4.0,-3.0,4.0,-0.6,-1.0,2.0,3.0,3.0,-2.0,2.0,-0.25,3.5,-0.5,-4.0,4.0,-1.0,3.5,0.05
外面很热,外面很严寒,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-3.0,-3.5,3.5,-3.0,1.0,-1.15,-0.5,0.0,0.5,0.5,-2.0,2.5,-0.3,1.0,-3.0,-4.0,4.0,-3.0,2.0,-0.6
这个任务有点累,这个任务精神,10,4,1.0,-3.0,-4.0,4.0,-3.5,4.8,0.12999999999999998,-0.5,2.0,2.5,2.5,-4.5,2.0,-0.2,1.0,-3.0,-4.0,4.0,-3.0,4.5,0.2,-0.5,2.5,3.0,3.0,-4.5,2.5,-0.05,0.5,2.0,1.5,1.5,-2.0,2.5,0.75,-1.0,2.0,3.0,3.0,-4.5,2.0,-0.55
他今天很高兴,他今天很狂喜,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,-4.5,5.0,3.45,1.5,-0.5,-2.0,2.0,-1.0,1.5,0.05,2.5,5.0,2.5,2.5,-3.0,5.0,3.5
今天的饭很好吃,今天的饭较好吃,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,-1.0,1.0,1.5,5.0,3.5,1.0,1.5,0.5,0.5,0.0,1.5,0.65,1.0,0.5,-0.5,0.5,0.5,2.9999999999999996,1.8
今天天气不错,今天天气不错,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
我喜欢这个电影,我喜欢这个电影,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
他看起来很生气,他看起来很生气,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
速度很快,速度飞快,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,2.5,2.5,2.5,-1.4999999999999998,-1.4999999999999998,0.0,0.0,-1.4999999999999998,-1.4999999999999998,-1.4999999999999998,4.5,4.5,0.0,0.0,4.5,4.5,4.5
